complaint_code,smonth
KS25120100001100,202512
KS25120100002373,202512
KS25120100002381,202512
KS25120100002958,202512
KS25120100002959,202512
KS25120100002960,202512
KS25120100003420,202512
KS25120100003421,202512
KS25120100005128,202512
KS25120100000019,202512
KS25120100001008,202512
KS25120100001098,202512
KS25120100002123,202512
KS25120100002124,202512
KS25120100002237,202512
KS25120100002377,202512
KS25120100002957,202512
KS25120100002965,202512
KS25120100002966,202512
KS25120100003417,202512
KS25120100003972,202512
KS25120100005088,202512
KS25120100000013,202512
KS25120100000370,202512
KS25120100000384,202512
KS25120100000450,202512
KS25120100000561,202512
KS25120100000871,202512
KS25120100000986,202512
KS25120100002041,202512
KS25120100002648,202512
KS25120100002940,202512
KS25120100003037,202512
KS25120100003141,202512
KS25120100003266,202512
KS25120100003457,202512
KS25120100003927,202512
KS25120100004000,202512
KS25120100004077,202512
KS25120100004082,202512
KS25120100004126,202512
KS25120100000001,202512
KS25120100000014,202512
KS25120100000040,202512
KS25120100000041,202512
KS25120100000049,202512
KS25120100000149,202512
KS25120100000156,202512
KS25120100000258,202512
KS25120100000260,202512
KS25120100000286,202512
KS25120100000287,202512
KS25120100000326,202512
KS25120100000327,202512
KS25120100000366,202512
KS25120100000562,202512
KS25120100000681,202512
KS25120100000704,202512
KS25120100000787,202512
KS25120100000788,202512
KS25120100000789,202512
KS25120100000814,202512
KS25120100000823,202512
KS25120100000824,202512
KS25120100000825,202512
KS25120100000826,202512
KS25120100000827,202512
KS25120100000829,202512
KS25120100000832,202512
KS25120100000834,202512
KS25120100000835,202512
KS25120100000872,202512
KS25120100000890,202512
KS25120100000945,202512
KS25120100000946,202512
KS25120100000947,202512
KS25120100000950,202512
KS25120100000954,202512
KS25120100000956,202512
KS25120100000982,202512
KS25120100000987,202512
KS25120100001005,202512
KS25120100001006,202512
KS25120100001007,202512
KS25120100001030,202512
KS25120100001097,202512
KS25120100001099,202512
KS25120100001145,202512
KS25120100001147,202512
KS25120100001214,202512
KS25120100001216,202512
KS25120100001253,202512
KS25120100001367,202512
KS25120100001399,202512
KS25120100001400,202512
KS25120100001477,202512
KS25120100001482,202512
KS25120100001627,202512
KS25120100001628,202512
KS25120100001629,202512
KS25120100001762,202512
KS25120100001782,202512
KS25120100001783,202512
KS25120100001815,202512
KS25120100001819,202512
KS25120100001826,202512
KS25120100001869,202512
KS25120100001929,202512
KS25120100001930,202512
KS25120100002002,202512
KS25120100002019,202512
KS25120100002039,202512
KS25120100002053,202512
KS25120100002057,202512
KS25120100002087,202512
KS25120100002088,202512
KS25120100002090,202512
KS25120100002098,202512
KS25120100002111,202512
KS25120100002129,202512
KS25120100002133,202512
KS25120100002143,202512
KS25120100002175,202512
KS25120100002234,202512
KS25120100002354,202512
KS25120100002363,202512
KS25120100002375,202512
KS25120100002379,202512
KS25120100002414,202512
KS25120100002643,202512
KS25120100002878,202512
KS25120100002994,202512
KS25120100003035,202512
KS25120100003036,202512
KS25120100003042,202512
KS25120100003071,202512
KS25120100003073,202512
KS25120100003086,202512
KS25120100003087,202512
KS25120100003120,202512
KS25120100003124,202512
KS25120100003132,202512
KS25120100003133,202512
KS25120100003137,202512
KS25120100003139,202512
KS25120100003140,202512
KS25120100003142,202512
KS25120100003145,202512
KS25120100003146,202512
KS25120100003152,202512
KS25120100003154,202512
KS25120100003195,202512
KS25120100003208,202512
KS25120100003376,202512
KS25120100003385,202512
KS25120100003399,202512
KS25120100003416,202512
KS25120100003419,202512
KS25120100003429,202512
KS25120100003494,202512
KS25120100003602,202512
KS25120100003661,202512
KS25120100003792,202512
KS25120100003967,202512
KS25120100004042,202512
KS25120100004117,202512
KS25120100004131,202512
KS25120100004133,202512
KS25120100004134,202512
KS25120100004145,202512
KS25120100005074,202512
KS25120100005106,202512
KS25120100001625,202512
KS25120100002342,202512
KS25120100002376,202512
KS25120100002398,202512
KS25120100002613,202512
KS25120100002755,202512
KS25120100003374,202512
KS25120100003386,202512
KS25120100003397,202512
KS25120100003401,202512
KS25120100003461,202512
KS25120100003795,202512
KS25120100004114,202512
KS25120100000939,202512
KS25120100002348,202512
KS25120100002358,202512
KS25120100002399,202512
KS25120100002401,202512
KS25120100002408,202512
KS25120100002409,202512
KS25120100002410,202512
KS25120100002416,202512
KS25120100002753,202512
KS25120100002851,202512
KS25120100002852,202512
KS25120100002956,202512
KS25120100003179,202512
KS25120100003243,202512
KS25120100003369,202512
KS25120100003370,202512
KS25120100003372,202512
KS25120100003393,202512
KS25120100003394,202512
KS25120100003404,202512
KS25120100003405,202512
KS25120100003408,202512
KS25120100003412,202512
KS25120100003448,202512
KS25120100003449,202512
KS25120100003462,202512
KS25120100003791,202512
KS25120100003793,202512
KS25120100003794,202512
KS25120100003797,202512
KS25120100003836,202512
KS25120100004111,202512
KS25120100004113,202512
KS25120100004164,202512
KS25120100000205,202512
KS25120100000643,202512
KS25120100001311,202512
KS25120100001366,202512
KS25120100001568,202512
KS25120100002233,202512
KS25120100002339,202512
KS25120100002489,202512
KS25120100002545,202512
KS25120100002849,202512
KS25120100002918,202512
KS25120100002919,202512
KS25120100002921,202512
KS25120100002924,202512
KS25120100003928,202512
KS25120100003930,202512
KS25120100003931,202512
KS25120100000368,202512
KS25120100000371,202512
KS25120100000383,202512
KS25120100000472,202512
KS25120100000597,202512
KS25120100000598,202512
KS25120100001085,202512
KS25120100001212,202512
KS25120100001213,202512
KS25120100001357,202512
KS25120100001566,202512
KS25120100001567,202512
KS25120100001599,202512
KS25120100002390,202512
KS25120100002395,202512
KS25120100002397,202512
KS25120100002459,202512
KS25120100002490,202512
KS25120100002534,202512
KS25120100002544,202512
KS25120100002925,202512
KS25120100002926,202512
KS25120100003191,202512
KS25120100003192,202512
KS25120100003193,202512
KS25120100003395,202512
KS25120100003432,202512
KS25120100003433,202512
KS25120100003608,202512
KS25120100003727,202512
KS25120100003929,202512
KS25120100003932,202512
KS25120100000500,202512
KS25120100002139,202512
KS25120100002973,202512
KS25120100002979,202512
KS25120100003327,202512
KS25120100003337,202512
KS25120100003969,202512
KS25120100005117,202512
KS25120100005118,202512
KS25120100000369,202512
KS25120100000520,202512
KS25120100001507,202512
KS25120100002896,202512
KS25120100002897,202512
KS25120100002898,202512
KS25120100003460,202512
KS25120100003925,202512
KS25120100003970,202512
KS25120100003971,202512
KS25120100000978,202512
KS25120100001004,202512
KS25120100001449,202512
KS25120100002101,202512
KS25120100002106,202512
KS25120100002170,202512
KS25120100002488,202512
KS25120100000012,202512
KS25120100000053,202512
KS25120100000202,202512
KS25120100000563,202512
KS25120100000680,202512
KS25120100000858,202512
KS25120100000944,202512
KS25120100000951,202512
KS25120100000952,202512
KS25120100000976,202512
KS25120100001009,202512
KS25120100001010,202512
KS25120100001014,202512
KS25120100001642,202512
KS25120100001655,202512
KS25120100001822,202512
KS25120100001824,202512
KS25120100002018,202512
KS25120100002107,202512
KS25120100002108,202512
KS25120100002117,202512
KS25120100002241,202512
KS25120100002710,202512
KS25120100003070,202512
KS25120100003129,202512
KS25120100003135,202512
KS25120100003853,202512
KS25120100004016,202512
KS25120100004068,202512
KS25120100004116,202512
KS25120100005072,202512
KS25120100005073,202512
KS25120100005090,202512
KS25120100005093,202512
KS25120100000284,202512
KS25120100001251,202512
KS25120100002132,202512
KS25120100002349,202512
KS25120100002430,202512
KS25120100002711,202512
KS25120100003153,202512
KS25120100003799,202512
KS25120100003855,202512
KS25120100005048,202512
KS25120100005086,202512
KS25120100002122,202512
KS25120100002962,202512
KS25120100003088,202512
KS25120100003089,202512
KS25120100004096,202512
KS25120100004097,202512
KS25120100004110,202512
KS25120100004112,202512
KS25120100004123,202512
KS25120100004127,202512
KS25120100004132,202512
KS25120100004135,202512
KS25120100004146,202512
KS25120100005033,202512
KS25120100005055,202512
KS25120100005065,202512
KS25120100005075,202512
KS25120100005079,202512
KS25120100005085,202512
KS25120100005107,202512
KS25120100004103,202512
KS25120100005052,202512
KS25120100000026,202512
KS25120100003041,202512
KS25120100005063,202512
KS25120100002092,202512
KS25120100002093,202512
KS25120100002344,202512
KS25120100002360,202512
KS25120100002371,202512
KS25120100003095,202512
KS25120100003123,202512
KS25120100003770,202512
KS25120100002054,202512
KS25120100002056,202512
KS25120100002091,202512
KS25120100002094,202512
KS25120100002095,202512
KS25120100002096,202512
KS25120100002097,202512
KS25120100002355,202512
KS25120100002362,202512
KS25120100002372,202512
KS25120100002411,202512
KS25120100002422,202512
KS25120100002679,202512
KS25120100003092,202512
KS25120100003093,202512
KS25120100003121,202512
KS25120100003122,202512
KS25120100003125,202512
KS25120100003390,202512
KS25120100003391,202512
